datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2025-02-21T19:48:01.490047Z,2025-02-21,DEFAULT,CASH,TRANSFER_INSTANT_INBOUND,,,,,,50,,,EUR,,,,Incoming transfer from M. CHARPENTIER NOLAN,25f6ef29-0faf-4596-899c-4d9b62f5f8dd,,,,
2025-02-21T19:58:35.878318Z,2025-02-21,PEA,CASH,PEA_MARKETING,,,,,,1,,,EUR,,,,PEA activation,37ea9c65-bd5c-459a-aa38-881d745771f5,,,,
2025-02-24T10:52:01.830Z,2025-02-24,PEA,TRADING,BUY,FUND,S&P 500 EUR (Acc),FR0011550185,1,28.926,-28.93,-1,,EUR,,,,"Buy trade FR0011550185 BNP PARIBAS EASY FR - BNP PARIBAS EASY S&P 500 UCITS ETF EUR C CAPITALISATION, quantity: 1",dad2ae2f-21f4-4335-a184-376569bac917,,,,
2025-02-24T12:19:55.460763Z,2025-02-24,PEA,CASH,TRANSFER_IN,,,,,,28.93,,,EUR,,,,Versement PEA,e94e8aa1-41d9-4eee-b40d-d3df65a25fa4,,,,
2025-02-24T12:19:55.508054Z,2025-02-24,DEFAULT,CASH,TRANSFER_OUT,,,,,,-28.93,,,EUR,,,,Versement PEA,8fc444b8-2afe-4022-b5b9-59dee71fadf1,,,,
2025-03-01T10:06:28.484814Z,2025-03-01,DEFAULT,CASH,INTEREST_PAYMENT,,,,,,0.01,,,EUR,,,,Interest payment Booking,e6dd3d25-dc26-4c81-bdd2-8f8135953761,,,,
2025-03-03T10:17:44.722Z,2025-03-03,PEA,TRADING,BUY,FUND,MSCI World Swap PEA EUR (Acc),IE0002XZSHO1,2,5.86,-11.72,,,EUR,,,,"Savings plan execution IE0002XZSHO1 iShares VI plc - iShares MSCI World Swap PEA UCITS ETF EUR (Acc), quantity: 2",66b58494-4588-4bee-a198-766d0fcad6c4,,,,
2025-03-03T11:44:53.846441Z,2025-03-03,DEFAULT,CASH,TRANSFER_OUT,,,,,,-11.72,,,EUR,,,,Versement PEA,b4e19aa0-9157-4ed3-ae8f-92d125f6d582,,,,
2025-03-03T12:27:59.365844Z,2025-03-03,PEA,CASH,TRANSFER_IN,,,,,,11.72,,,EUR,,,,Versement PEA,72e45f06-abae-4b92-87cd-1f59fc65883b,,,,
2025-03-03T08:50:26.870894Z,2025-03-03,DEFAULT,CASH,TRANSFER_INBOUND,,,,,,13,,,EUR,,,,Incoming transfer from M.       CHARPENTIER NOLAN,dcc1cce0-c90b-4aa9-aa31-0b5a0d7d07e5,,,,
